iter	RMSE
0	56.4950502
1	51.34221404
2	46.77386034
3	42.64424924
4	38.74041353
5	35.34723999
6	32.1365877
7	29.33620745
8	26.69319032
9	24.39205883
10	22.30163825
11	20.47987874
12	18.81390418
13	17.24294504
14	15.81300385
15	14.52896739
16	13.41635866
17	12.3570117
18	11.43073377
19	10.57886931
20	9.76927894
21	9.08071569
22	8.456822293
23	7.869822332
24	7.357726489
25	6.885565387
26	6.446615622
27	6.062330832
28	5.735276298
29	5.421517983
30	5.12985002
31	4.894757591
32	4.656225677
33	4.450892508
34	4.260618002
35	4.090528184
36	3.930154476
37	3.792484579
38	3.661740958
39	3.537079259
40	3.417686754
41	3.311759231
42	3.227477607
43	3.15064373
44	3.070648931
45	2.992805023
46	2.928465628
47	2.864307273
48	2.81620825
49	2.76417419
50	2.709991536
51	2.659144615
52	2.613975595
53	2.573844341
54	2.53491202
55	2.487214194
56	2.444270763
57	2.409629025
58	2.373324558
59	2.343224899
60	2.311053708
61	2.279747712
62	2.250741889
63	2.231748071
64	2.199846305
65	2.174310943
66	2.14789614
67	2.123796763
68	2.097849492
69	2.072576433
70	2.044268347
71	2.02310482
72	2.002456023
73	1.979032638
74	1.953789093
75	1.935429364
76	1.910046662
77	1.888849058
78	1.876553561
79	1.862615301
80	1.844251683
81	1.829668606
82	1.813534605
83	1.797236195
84	1.77850705
85	1.766952078
86	1.749707183
87	1.736528933
88	1.718547574
89	1.702481898
90	1.689636522
91	1.676119597
92	1.663343651
93	1.650266367
94	1.634514104
95	1.625668037
96	1.6136076
97	1.602114165
98	1.588871876
99	1.576534478
