iter	Passed	Remaining
0	5	564
1	9	454
2	13	423
3	16	398
4	20	397
5	24	386
6	28	375
7	32	369
8	36	373
9	40	366
10	44	358
11	47	351
12	52	353
13	56	347
14	60	340
15	63	335
16	68	335
17	72	329
18	76	324
19	80	320
20	84	319
21	88	315
22	92	309
23	96	306
24	101	304
25	105	298
26	108	293
27	112	288
28	116	285
29	120	281
30	124	276
31	128	272
32	132	269
33	136	265
34	140	261
35	144	256
36	149	254
37	152	249
38	156	245
39	160	240
40	165	237
41	169	233
42	172	229
43	176	224
44	181	221
45	185	217
46	188	213
47	192	208
48	197	205
49	201	201
50	205	197
51	209	192
52	213	189
53	217	185
54	221	180
55	225	176
56	229	173
57	233	169
58	237	164
59	241	160
60	245	157
61	249	152
62	253	148
63	257	144
64	262	141
65	265	136
66	269	132
67	273	128
68	278	125
69	282	120
70	285	116
71	289	112
72	295	109
73	298	105
74	302	100
75	307	97
76	311	93
77	315	88
78	319	84
79	324	81
80	327	76
81	331	72
82	335	68
83	340	64
84	344	60
85	348	56
86	352	52
87	357	48
88	361	44
89	365	40
90	369	36
91	373	32
92	377	28
93	381	24
94	385	20
95	391	16
96	394	12
97	398	8
98	402	4
99	407	0
