iter	RMSE
0	56.45469875
1	51.21521298
2	46.52798678
3	42.23459751
4	38.35902334
5	34.78615959
6	31.71394541
7	28.79200244
8	26.2246584
9	23.91732028
10	21.76504416
11	19.86828847
12	18.13472342
13	16.57313987
14	15.17697095
15	13.87171822
16	12.7019229
17	11.65039747
18	10.7342959
19	9.883522436
20	9.119014192
21	8.426248116
22	7.783985997
23	7.220198591
24	6.707291184
25	6.263963905
26	5.849548186
27	5.480228723
28	5.137573921
29	4.842873016
30	4.58350766
31	4.338276389
32	4.121633758
33	3.926809038
34	3.743462322
35	3.575847655
36	3.428832323
37	3.297941763
38	3.170686391
39	3.061865888
40	2.958784752
41	2.869571712
42	2.771649936
43	2.68756559
44	2.621555745
45	2.560155791
46	2.510834959
47	2.442334919
48	2.380180862
49	2.325694735
50	2.273721099
51	2.213808365
52	2.163531469
53	2.129030504
54	2.088972347
55	2.052677626
56	2.016954426
57	1.983589262
58	1.949644131
59	1.911483501
60	1.885259833
61	1.858630398
62	1.830804804
63	1.806188513
64	1.782406855
65	1.761645091
66	1.737661145
67	1.71454167
68	1.702030994
69	1.679767594
70	1.661671311
71	1.638017753
72	1.618320703
73	1.597109276
74	1.577463885
75	1.562932199
76	1.545592274
77	1.529272204
78	1.515147306
79	1.500886559
80	1.487032261
81	1.471693114
82	1.457887834
83	1.442564455
84	1.430406281
85	1.418756156
86	1.403695336
87	1.38931754
88	1.37697977
89	1.364070981
90	1.350066424
91	1.33402903
92	1.321043693
93	1.309847768
94	1.29745966
95	1.284239582
96	1.267720459
97	1.255881508
98	1.243440254
99	1.231668257
100	1.220554879
101	1.211474455
102	1.201778923
103	1.192124203
104	1.183850238
105	1.177311646
106	1.170436802
107	1.160319267
108	1.150642824
109	1.141770218
110	1.131759228
111	1.120183946
112	1.112577425
113	1.105878048
114	1.096856131
115	1.088529853
116	1.081201577
117	1.074593906
118	1.069293536
119	1.059472707
120	1.050793429
121	1.043036163
122	1.036017408
123	1.030448125
124	1.024333101
125	1.0176496
126	1.01041739
127	1.002706751
128	0.9970378089
129	0.9899652286
130	0.9852607541
131	0.9795421326
132	0.9734362821
133	0.9673688088
134	0.9606088257
135	0.95655745
136	0.9499265012
137	0.945117082
138	0.9388236311
139	0.9348158184
140	0.9285608597
141	0.9236780378
142	0.9181819193
143	0.9119654319
144	0.9070205333
145	0.9012458809
146	0.8968233713
147	0.8911339709
148	0.886518619
149	0.8818695751
150	0.8781021042
151	0.8732860438
152	0.8701970662
153	0.8652356006
154	0.860820951
155	0.8582769071
156	0.8543360702
157	0.8500006716
158	0.8457881175
159	0.8408043722
160	0.8358211645
161	0.8314038145
162	0.8252142042
163	0.8204537772
164	0.8161601298
165	0.8122502485
166	0.8091231378
167	0.8055560802
168	0.8018394274
169	0.7974650538
170	0.7931690332
171	0.7890861248
172	0.7865350584
173	0.7834067188
174	0.7796332017
175	0.777343329
176	0.7741123901
177	0.769431071
178	0.7660295695
179	0.76209928
180	0.7594597176
181	0.7565629047
182	0.7535318603
183	0.7507942144
184	0.7472558755
185	0.744764129
186	0.7425559252
187	0.7399911481
188	0.7370268563
189	0.7323253418
190	0.7291406052
191	0.727132904
192	0.7246827833
193	0.7213613839
194	0.7190545901
195	0.716075999
196	0.7132252365
197	0.710969126
198	0.7076242613
199	0.7041371575
200	0.702031254
201	0.6993556666
202	0.6968207301
203	0.6948732189
204	0.6917920372
205	0.6900766352
206	0.6864785942
207	0.6836164814
208	0.6817289943
209	0.6788286305
210	0.6760444678
211	0.6737156101
212	0.672163011
213	0.6698334537
214	0.667987223
215	0.6655032272
216	0.6631976285
217	0.660469131
218	0.6576074306
219	0.6555335563
220	0.6529139317
221	0.6512691947
222	0.6491349398
223	0.6473895626
224	0.6447380402
225	0.6429767403
226	0.6406019813
227	0.6382066793
228	0.6358820175
229	0.6341666002
230	0.6319872913
231	0.6306625869
232	0.6285087116
233	0.6268524523
234	0.6244956751
235	0.6229549894
236	0.6205387468
237	0.6184306003
238	0.6171410406
239	0.6157031918
240	0.6136865562
241	0.6114074339
242	0.6093412431
243	0.6073205118
244	0.6059473093
245	0.6043084282
246	0.602596067
247	0.6003442111
248	0.598473878
249	0.5964517058
250	0.5949008704
251	0.5936834354
252	0.591688713
253	0.5899586868
254	0.5879628753
255	0.5856489703
256	0.5841004531
257	0.5823176068
258	0.5806047527
259	0.5792922294
260	0.5779311418
261	0.5761629997
262	0.5748586764
263	0.5731062663
264	0.5721645704
265	0.5708191317
266	0.5698589937
267	0.5688648164
268	0.5672582244
269	0.5654873171
270	0.5643785599
271	0.5634118327
272	0.5619302281
273	0.5595346787
274	0.5574302585
275	0.5560483762
276	0.5545195657
277	0.5526563393
278	0.5513613468
279	0.5496389124
280	0.5485323996
281	0.5469757264
282	0.5461996699
283	0.5453808058
284	0.5439013314
285	0.5424946376
286	0.5416263749
287	0.5405312053
288	0.5394788596
289	0.5379412844
290	0.5367387568
291	0.5355439006
292	0.5348798435
293	0.5335266338
294	0.5317164789
295	0.5299276221
296	0.5286306718
297	0.5276804522
298	0.526119847
299	0.5253915203
