iter	Passed	Remaining
0	11	3409
1	25	3800
2	37	3760
3	50	3732
4	63	3722
5	76	3733
6	87	3681
7	99	3641
8	113	3670
9	126	3672
10	139	3652
11	158	3793
12	172	3801
13	182	3732
14	192	3664
15	203	3613
16	214	3568
17	225	3538
18	240	3561
19	254	3566
20	266	3536
21	279	3535
22	290	3502
23	305	3509
24	320	3527
25	331	3495
26	345	3497
27	360	3505
28	375	3504
29	387	3489
30	401	3484
31	416	3484
32	430	3482
33	446	3496
34	461	3494
35	477	3498
36	490	3489
37	505	3483
38	520	3483
39	536	3486
40	552	3487
41	565	3476
42	581	3476
43	595	3467
44	610	3459
45	624	3448
46	635	3423
47	650	3415
48	664	3404
49	679	3395
50	693	3383
51	708	3379
52	723	3371
53	738	3362
54	753	3354
55	768	3346
56	782	3335
57	797	3328
58	813	3321
59	827	3310
60	842	3301
61	856	3288
62	872	3281
63	887	3273
64	902	3264
65	917	3251
66	929	3231
67	942	3217
68	957	3204
69	971	3192
70	986	3180
71	1000	3168
72	1015	3158
73	1030	3145
74	1044	3132
75	1058	3118
76	1072	3105
77	1087	3094
78	1101	3081
79	1115	3068
80	1130	3057
81	1145	3044
82	1159	3031
83	1174	3019
84	1188	3005
85	1203	2994
86	1217	2981
87	1232	2968
88	1248	2960
89	1263	2947
90	1278	2936
91	1292	2921
92	1307	2910
93	1323	2899
94	1338	2887
95	1352	2874
96	1366	2859
97	1381	2846
98	1394	2831
99	1408	2817
100	1423	2804
101	1437	2790
102	1451	2775
103	1464	2760
104	1479	2746
105	1492	2732
106	1507	2719
107	1522	2706
108	1535	2691
109	1549	2676
110	1563	2662
111	1578	2648
112	1591	2633
113	1601	2613
114	1612	2593
115	1621	2571
116	1634	2556
117	1648	2542
118	1662	2529
119	1677	2515
120	1691	2502
121	1707	2490
122	1721	2477
123	1736	2465
124	1751	2452
125	1766	2439
126	1779	2424
127	1794	2411
128	1807	2396
129	1821	2382
130	1835	2368
131	1849	2354
132	1864	2340
133	1878	2326
134	1891	2311
135	1905	2297
136	1918	2282
137	1931	2267
138	1944	2252
139	1959	2239
140	1972	2224
141	1986	2209
142	2001	2196
143	2015	2183
144	2029	2169
145	2042	2154
146	2056	2140
147	2070	2126
148	2083	2111
149	2097	2097
150	2111	2083
151	2124	2068
152	2138	2055
153	2154	2042
154	2168	2029
155	2181	2014
156	2195	2000
157	2210	1986
158	2225	1973
159	2240	1960
160	2255	1947
161	2269	1933
162	2284	1920
163	2299	1906
164	2313	1892
165	2327	1878
166	2337	1861
167	2347	1844
168	2358	1828
169	2369	1811
170	2379	1795
171	2393	1781
172	2407	1767
173	2421	1753
174	2435	1739
175	2450	1726
176	2464	1712
177	2478	1698
178	2491	1683
179	2506	1671
180	2521	1658
181	2536	1644
182	2551	1631
183	2565	1617
184	2580	1604
185	2595	1590
186	2610	1577
187	2625	1564
188	2639	1550
189	2653	1536
190	2668	1522
191	2684	1509
192	2697	1495
193	2712	1481
194	2725	1467
195	2741	1454
196	2755	1440
197	2770	1427
198	2784	1413
199	2801	1400
200	2816	1387
201	2830	1373
202	2844	1359
203	2859	1345
204	2874	1332
205	2887	1317
206	2901	1303
207	2916	1290
208	2931	1276
209	2946	1262
210	2958	1247
211	2970	1233
212	2984	1219
213	2998	1204
214	3012	1190
215	3026	1176
216	3040	1163
217	3055	1149
218	3069	1135
219	3083	1121
220	3098	1107
221	3111	1093
222	3124	1078
223	3138	1064
224	3152	1050
225	3166	1036
226	3181	1023
227	3196	1009
228	3210	995
229	3224	981
230	3240	968
231	3255	954
232	3271	940
233	3285	926
234	3301	913
235	3314	898
236	3327	884
237	3340	870
238	3354	856
239	3369	842
240	3383	828
241	3400	814
242	3430	804
243	3466	795
244	3485	782
245	3502	768
246	3516	754
247	3530	740
248	3545	726
249	3559	711
250	3573	697
251	3586	683
252	3600	668
253	3615	654
254	3629	640
255	3643	626
256	3657	612
257	3673	597
258	3686	583
259	3702	569
260	3716	555
261	3731	541
262	3746	527
263	3760	512
264	3774	498
265	3789	484
266	3803	470
267	3817	455
268	3831	441
269	3846	427
270	3861	413
271	3875	398
272	3889	384
273	3903	370
274	3918	356
275	3932	341
276	3945	327
277	3958	313
278	3974	299
279	3987	284
280	4001	270
281	4014	256
282	4028	241
283	4044	227
284	4058	213
285	4074	199
286	4089	185
287	4102	170
288	4116	156
289	4130	142
290	4145	128
291	4160	113
292	4177	99
293	4194	85
294	4209	71
295	4222	57
296	4237	42
297	4251	28
298	4265	14
299	4279	0
